name,installed_versions,latest,latest_error
"@eslint/config-array","0.21.1","0.23.0",""
"@eslint/config-helpers","0.4.2","0.5.2",""
"@eslint/core","0.17.0","1.1.0",""
"@eslint/object-schema","2.1.7","3.0.0",""
"@eslint/plugin-kit","0.4.1","0.6.0",""
"@hookform/resolvers","3.10.0","5.2.2",""
"@napi-rs/wasm-runtime","0.2.12","1.1.1",""
"@nodelib/fs.scandir","2.1.5","4.0.1",""
"@nodelib/fs.stat","2.0.5","4.0.0",""
"@nodelib/fs.walk","1.2.8","3.0.1",""
"@radix-ui/react-arrow","1.1.7","1.1.8",""
"@radix-ui/react-collection","1.1.7","1.1.8",""
"@radix-ui/react-context","1.1.2;1.1.3","1.1.3",""
"@radix-ui/react-focus-scope","1.1.7","1.1.8",""
"@radix-ui/react-portal","1.1.9","1.1.10",""
"@radix-ui/react-primitive","2.1.3;2.1.4","2.1.4",""
"@radix-ui/react-slot","1.2.3;1.2.4","1.2.4",""
"@radix-ui/react-visually-hidden","1.2.3","1.2.4",""
"@swc/helpers","0.5.15","0.5.18",""
"@types/json5","0.0.29","2.2.0",""
"@types/node","22.19.9","25.2.1",""
"@types/react","18.3.28","19.2.13",""
"@types/react-dom","18.3.7","19.2.3",""
"ajv","6.12.6","8.17.1",""
"ansi-styles","4.3.0","6.2.3",""
"balanced-match","1.0.2","3.0.1",""
"binary-extensions","2.3.0","3.1.0",""
"brace-expansion","1.1.12;2.0.2","4.0.1",""
"callsites","3.1.0","4.2.0",""
"chalk","4.1.2","5.6.2",""
"chokidar","3.6.0","5.0.0",""
"color-convert","2.0.1","3.1.3",""
"color-name","1.1.4","2.1.0",""
"commander","4.1.1","14.0.3",""
"concat-map","0.0.1","0.0.2",""
"date-fns","3.6.0","4.1.0",""
"debug","3.2.7;4.4.3","4.4.3",""
"doctrine","2.1.0","3.0.0",""
"dom-helpers","5.2.1","6.0.1",""
"emoji-regex","9.2.2","10.6.0",""
"escape-string-regexp","4.0.0","5.0.0",""
"eslint-import-resolver-typescript","3.10.1","4.4.4",""
"eslint-plugin-react-hooks","5.2.0;7.0.1","7.0.1",""
"eslint-plugin-react-refresh","0.4.26","0.5.0",""
"eslint-scope","8.4.0","9.1.0",""
"eslint-visitor-keys","3.4.3;4.2.1","5.0.0",""
"espree","10.4.0","11.1.0",""
"eventemitter3","4.0.7","5.0.4",""
"fast-equals","5.4.0","6.0.0",""
"fast-glob","3.3.1;3.3.3","3.3.3",""
"fast-levenshtein","2.0.6","3.0.0",""
"file-entry-cache","8.0.0","11.1.2",""
"find-up","5.0.0","8.0.0",""
"flat-cache","4.0.1","6.1.20",""
"glob-parent","5.1.2;6.0.2","6.0.2",""
"globals","14.0.0;15.15.0;16.4.0","17.3.0",""
"has-flag","4.0.0","5.0.1",""
"hermes-estree","0.25.1","0.33.3",""
"hermes-parser","0.25.1","0.33.3",""
"ignore","5.3.2;7.0.5","7.0.5",""
"is-binary-path","2.1.0","3.0.0",""
"isexe","2.0.0","3.1.2",""
"jiti","1.21.7","2.6.1",""
"js-tokens","4.0.0","10.0.0",""
"json-schema-traverse","0.4.1","1.0.0",""
"json5","1.0.2;2.2.3","2.2.3",""
"keyv","4.5.4","5.6.0",""
"language-subtag-registry","0.3.23","0.4.2",""
"language-tags","1.0.9","2.1.0",""
"lines-and-columns","1.2.4","2.0.4",""
"locate-path","6.0.0","8.0.0",""
"lru-cache","5.1.1","11.2.5",""
"lucide-react","0.462.0","0.563.0",""
"minimatch","3.1.2;9.0.5","10.1.2",""
"nanoid","3.3.11","5.1.6",""
"next-themes","0.3.0","0.4.6",""
"p-limit","3.1.0","7.3.0",""
"p-locate","5.0.0","7.0.0",""
"parent-module","1.0.1","3.2.0",""
"path-exists","4.0.0","5.0.0",""
"path-key","3.1.1","4.0.0",""
"picomatch","2.3.1;4.0.3","4.0.3",""
"pify","2.3.0","6.1.0",""
"postcss","8.4.31;8.5.6","8.5.6",""
"postcss-import","15.1.0","16.1.1",""
"postcss-js","4.1.0","5.0.3",""
"postcss-nested","6.2.0","7.0.2",""
"postcss-selector-parser","6.0.10;6.1.2","7.1.1",""
"react","18.3.1","19.2.4",""
"react-day-picker","8.10.1","9.13.0",""
"react-dom","18.3.1","19.2.4",""
"react-is","16.13.1;18.3.1","19.2.4",""
"react-resizable-panels","2.1.9","4.6.1",""
"readdirp","3.6.0","5.0.0",""
"recharts","2.15.4","3.7.0",""
"resolve","1.22.11;2.0.0-next.5","1.22.11",""
"resolve-from","4.0.0","5.0.0",""
"scheduler","0.23.2","0.27.0",""
"semver","6.3.1;7.7.4","7.7.4",""
"shebang-regex","3.0.0","4.0.0",""
"sonner","1.7.4","2.0.7",""
"stable-hash","0.0.5","0.0.6",""
"strip-bom","3.0.0","5.0.0",""
"strip-json-comments","3.1.1","5.0.3",""
"styled-jsx","5.1.6","5.1.7",""
"supports-color","7.2.0","10.2.2",""
"tailwind-merge","2.6.1","3.4.0",""
"tailwindcss","3.4.19","4.1.18",""
"ts-interface-checker","0.1.13","1.0.2",""
"tsconfig-paths","3.15.0","4.2.0",""
"undici-types","6.21.0","7.20.0",""
"vaul","0.9.9","1.1.2",""
"victory-vendor","36.9.2","37.3.6",""
"which","2.0.2","6.0.0",""
"yallist","3.1.1","5.0.0",""
"yocto-queue","0.1.0","1.2.2",""
"zod","3.25.76","4.3.6",""
"zod-validation-error","4.0.2","5.0.0",""